KPI,KPI_VALUE,FISCAL_QUARTER_NAME,FISCAL_QUARTER_KEY,FISCAL_MONTH_NAME,FISCAL_MONTH_KEY,FISCAL_YEAR_NAME,THEATER,PRODUCT,SEGMENT,OPPORTUNITY_ID,ACCOUNT_ID,ACCOUNT_NAME,RECORD_TYPE,NEW_LOGO_FLAG,DEAL_VELOCITY,SYMBOL
Bookings,116780.7,4QFY25,20254,Feb FY25,202502,FY25,APJ,Others,Enterprise,OPP1001,ACC001,Acme Industries,ES1 Opportunity,Y,89,$
Bookings,222143.65,4QFY25,20254,Feb FY25,202502,FY25,APJ,FB,Enterprise,OPP1002,ACC009,Tyrell Systems,ES1 Opportunity,N,31,$
Bookings,457548.19,4QFY25,20254,Feb FY25,202502,FY25,EMEA,FA,Corporate,OPP1003,ACC003,Initech,ES2 Opportunity,N,121,$
Bookings,1662647.17,4QFY25,20254,Feb FY25,202502,FY25,APJ,FA,Enterprise,OPP1004,ACC003,Initech,Renewal,N,171,$
Bookings,115505.66,4QFY25,20254,Feb FY25,202502,FY25,EMEA,FB,Commercial,OPP1005,ACC008,Wonka Holdings,ES2 Opportunity,N,50,$
Bookings,212958.01,4QFY25,20254,Feb FY25,202502,FY25,Americas,FA,Enterprise,OPP1006,ACC030,Planet Express,ES2 Opportunity,N,48,$
Bookings,391316.5,4QFY25,20254,Feb FY25,202502,FY25,Americas,FA,Enterprise,OPP1007,ACC023,Wernham Hogg,Renewal,N,172,$
Bookings,142377.71,4QFY25,20254,Feb FY25,202502,FY25,Americas,FA,Enterprise,OPP1008,ACC009,Tyrell Systems,ES2 Opportunity,Y,175,$
Bookings,826967.4,4QFY25,20254,Feb FY25,202502,FY25,EMEA,Others,Commercial,OPP1009,ACC005,Stark Industries,ES2 Opportunity,N,173,$
Bookings,343468.76,4QFY25,20254,Feb FY25,202502,FY25,APJ,FA,Enterprise,OPP1010,ACC017,Nakatomi Trading,Renewal,N,156,$
Bookings,43662.83,4QFY25,20254,Feb FY25,202502,FY25,EMEA,FB,Enterprise,OPP1011,ACC015,Hooli,ES1 Opportunity,N,171,$
Bookings,1015161.97,4QFY25,20254,Feb FY25,202502,FY25,EMEA,FB,Enterprise,OPP1012,ACC006,Wayne Enterprises,ES2 Opportunity,N,214,$
Bookings,703080.93,4QFY25,20254,Feb FY25,202502,FY25,Americas,FA,Enterprise,OPP1013,ACC027,Spacely Sprockets,ES1 Opportunity,N,185,$
Bookings,86292.81,4QFY25,20254,Feb FY25,202502,FY25,APJ,Others,Commercial,OPP1014,ACC004,Umbrella Group,ES1 Opportunity,N,108,$
Bookings,146083.84,4QFY25,20254,Feb FY25,202502,FY25,Americas,FA,Commercial,OPP1015,ACC025,Pendant Publishing,ES2 Opportunity,N,62,$
Bookings,72620.41,4QFY25,20254,Feb FY25,202502,FY25,EMEA,FA,Commercial,OPP1016,ACC030,Planet Express,Renewal,N,168,$
Bookings,1430405.81,4QFY25,20254,Feb FY25,202502,FY25,EMEA,Others,Commercial,OPP1017,ACC017,Nakatomi Trading,ES1 Opportunity,N,93,$
Bookings,128895.45,4QFY25,20254,Feb FY25,202502,FY25,Americas,FB,Enterprise,OPP1018,ACC002,Globex Corp,ES1 Opportunity,N,38,$
Bookings,49928.03,4QFY25,20254,Feb FY25,202502,FY25,Americas,FB,Corporate,OPP1019,ACC008,Wonka Holdings,ES1 Opportunity,N,134,$
Bookings,134702.23,4QFY25,20254,Feb FY25,202502,FY25,EMEA,FA,Corporate,OPP1020,ACC021,Strickland Propane,ES2 Opportunity,N,55,$
Bookings,413413.79,4QFY25,20254,Feb FY25,202502,FY25,APJ,FA,Enterprise,OPP1021,ACC008,Wonka Holdings,ES2 Opportunity,N,49,$
Bookings,127483.29,4QFY25,20254,Feb FY25,202502,FY25,Americas,FB,Commercial,OPP1022,ACC003,Initech,ES2 Opportunity,N,90,$
Bookings,65337.38,4QFY25,20254,Feb FY25,202502,FY25,EMEA,Others,Enterprise,OPP1023,ACC013,Vandelay Imports,ES2 Opportunity,N,146,$
Bookings,80328.04,4QFY25,20254,Feb FY25,202502,FY25,APJ,FB,Commercial,OPP1024,ACC007,Soylent Co,ES2 Opportunity,N,178,$
Bookings,382748.16,4QFY25,20254,Feb FY25,202502,FY25,Americas,FB,Commercial,OPP1025,ACC006,Wayne Enterprises,Renewal,N,44,$
Bookings,68593.18,4QFY25,20254,Feb FY25,202502,FY25,Americas,FA,Corporate,OPP1026,ACC019,Gringotts Bank,ES1 Opportunity,N,188,$
Bookings,275158.59,4QFY25,20254,Feb FY25,202502,FY25,APJ,FB,Enterprise,OPP1027,ACC022,Los Pollos Hermanos,ES2 Opportunity,N,147,$
Bookings,49299.46,4QFY25,20254,Feb FY25,202502,FY25,EMEA,FB,Commercial,OPP1028,ACC018,Oscorp,ES2 Opportunity,N,97,$
Bookings,68541.07,4QFY25,20254,Feb FY25,202502,FY25,Americas,FA,Enterprise,OPP1029,ACC023,Wernham Hogg,ES1 Opportunity,N,197,$
Bookings,326657.22,4QFY25,20254,Feb FY25,202502,FY25,APJ,FA,Corporate,OPP1030,ACC029,Krusty Krab,ES2 Opportunity,Y,171,$
Bookings,89682.99,4QFY25,20254,Feb FY25,202502,FY25,EMEA,FA,Commercial,OPP1031,ACC016,Dunder Mifflin,ES2 Opportunity,N,43,$
Bookings,61170.35,4QFY25,20254,Feb FY25,202502,FY25,Americas,FA,Enterprise,OPP1032,ACC006,Wayne Enterprises,Renewal,N,219,$
Bookings,191563.96,4QFY25,20254,Feb FY25,202502,FY25,Americas,FA,Corporate,OPP1033,ACC018,Oscorp,Renewal,N,39,$
Bookings,960507.83,4QFY25,20254,Feb FY25,202502,FY25,Americas,FA,Enterprise,OPP1034,ACC028,Cogswell Cogs,Renewal,N,40,$
Bookings,591345.95,4QFY25,20254,Feb FY25,202502,FY25,Americas,FA,Commercial,OPP1035,ACC020,Bluth Co,Renewal,N,69,$
Bookings,613159.72,4QFY25,20254,Feb FY25,202502,FY25,Americas,Others,Enterprise,OPP1036,ACC011,Aperture Labs,ES1 Opportunity,N,135,$
Bookings,700027.06,4QFY25,20254,Feb FY25,202502,FY25,Americas,FA,Enterprise,OPP1037,ACC007,Soylent Co,ES1 Opportunity,N,147,$
Bookings,67526.77,4QFY25,20254,Feb FY25,202502,FY25,Americas,FA,Enterprise,OPP1038,ACC028,Cogswell Cogs,ES2 Opportunity,Y,101,$
Renewal Bookings,234187.82,4QFY25,20254,Feb FY25,202502,FY25,APJ,FA,Enterprise,OPP1039,ACC029,Krusty Krab,Renewal,N,,$
Renewal Bookings,430299.98,4QFY25,20254,Feb FY25,202502,FY25,Americas,FB,Enterprise,OPP1040,ACC026,Vehement Capital,Renewal,N,,$
Renewal Bookings,78391.18,4QFY25,20254,Feb FY25,202502,FY25,APJ,FA,Corporate,OPP1041,ACC007,Soylent Co,Renewal,N,,$
Renewal Bookings,44337.1,4QFY25,20254,Feb FY25,202502,FY25,Americas,FB,Corporate,OPP1042,ACC022,Los Pollos Hermanos,Renewal,N,,$
Renewal Bookings,604950.96,4QFY25,20254,Feb FY25,202502,FY25,APJ,FA,Enterprise,OPP1043,ACC022,Los Pollos Hermanos,Renewal,N,,$
Renewal Bookings,912502.3,4QFY25,20254,Feb FY25,202502,FY25,APJ,FB,Commercial,OPP1044,ACC010,Cyberdyne,Renewal,N,,$
Renewal Bookings,168217.54,4QFY25,20254,Feb FY25,202502,FY25,EMEA,FA,Enterprise,OPP1045,ACC005,Stark Industries,Renewal,N,,$
Renewal Bookings,39341.17,4QFY25,20254,Feb FY25,202502,FY25,EMEA,FB,Corporate,OPP1046,ACC020,Bluth Co,Renewal,N,,$
Renewal Bookings,194784.08,4QFY25,20254,Feb FY25,202502,FY25,Americas,FA,Enterprise,OPP1047,ACC026,Vehement Capital,Renewal,N,,$
Renewal Bookings,232733.64,4QFY25,20254,Feb FY25,202502,FY25,EMEA,FA,Commercial,OPP1048,ACC017,Nakatomi Trading,Renewal,N,,$
Open Pipeline,1186564.55,4QFY25,20254,Feb FY25,202502,FY25,EMEA,FA,Commercial,OPP1049,ACC027,Spacely Sprockets,ES2 Opportunity,N,,$
